county,location_type,Sex,Age,household_size,education_level,marital_status,has_disability,monthly_income,experienced_shock,mobile_ownership_1,mobile_money_access,barriers_mobile_money,Savings_formal,Savings_informal,Loan_formal,Loan_informal,defaulted,formal_service_use,barriers_bank,prodsum1,fl_score,nfhi_11,nfhi_12,nfhi_13,accessto_13k_1month,not_difficult,financial_status
Migori,1648,Female,5,3,2,4,1,5000,0,0,0,7,0,0,0,1,0,0,1,1,2,0,0,1,0,0,Worsened
Nyeri,643,Male,4,1,2,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,3,1,1,0,1,0,0,Worsened
Kericho,1292,Male,6,1,4,4,0,5000,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,1,1,1,Worsened
Makueni,567,Female,5,1,3,4,0,5000,1,1,1,0,0,1,1,1,0,1,1,5,2,1,0,1,1,0,Improved
Kisumu,1599,Female,2,1,3,1,0,5000,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,Improved
Mandera,263,Male,4,3,1,4,0,5000,0,1,1,0,1,0,0,1,0,1,1,4,1,1,0,1,1,1,Improved
Elgeyo-Marakwet,991,Female,3,2,3,1,0,5000,0,1,1,0,1,0,1,0,1,1,1,5,2,0,0,0,1,0,Worsened
Uasin Gishu,956,Female,5,2,2,4,0,5000,0,1,1,0,0,1,1,0,0,1,1,4,3,1,1,1,1,1,Stayed the same
Baringo,1083,Female,4,1,1,4,0,5000,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,Stayed the same
Kilifi,113,Male,3,2,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,8,2,1,1,1,1,0,Improved
Bungoma,1437,Female,1,2,3,1,0,5000,1,0,0,2,0,0,0,0,0,0,2,0,3,0,1,1,0,0,Worsened
Baringo,1069,Female,6,2,2,4,0,5000,1,0,0,1,0,0,0,1,0,1,0,2,2,0,0,0,1,0,Improved
Baringo,1093,Male,3,2,4,4,0,5000,0,1,1,0,1,0,1,1,1,1,3,9,3,1,1,1,1,1,Stayed the same
Embu,442,Male,6,2,4,2,0,5000,0,1,1,0,1,0,1,0,0,1,0,10,3,1,1,1,1,0,Worsened
Nakuru,1171,Male,3,1,4,1,0,5000,0,1,1,0,1,0,0,0,0,1,1,4,3,1,1,0,1,1,Worsened
Kericho,1282,Female,6,3,2,4,1,5000,0,0,0,7,0,1,0,0,0,0,1,1,1,1,1,0,0,0,Stayed the same
Turkana,829,Male,3,2,2,4,0,5000,0,1,1,0,1,0,1,0,1,1,1,4,2,0,0,1,1,0,Worsened
Elgeyo-Marakwet,1019,Male,4,2,2,2,1,5000,1,1,1,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,Stayed the same
Machakos,536,Male,2,2,2,1,0,5000,0,1,1,0,1,0,1,0,0,1,1,3,2,0,1,1,0,0,Improved
Homabay,1610,Female,6,2,2,3,0,5000,1,1,1,0,0,1,1,0,1,1,1,5,1,1,1,1,0,0,Worsened
Trans Nzoia,934,Female,3,1,4,4,0,5000,0,1,1,0,0,0,1,0,1,1,0,3,3,1,0,1,1,0,Worsened
Nairobi City,1795,Female,6,2,2,2,0,5000,1,1,1,0,1,1,0,0,0,1,0,9,2,1,1,1,1,1,Worsened
Samburu,917,Female,3,2,4,1,0,5000,1,1,1,0,0,0,1,1,1,1,1,5,3,1,0,0,1,1,Stayed the same
Busia,1500,Male,3,2,3,4,0,5000,1,1,1,0,1,0,1,1,0,1,1,5,3,0,0,0,1,0,Worsened
Kirinyaga,691,Female,6,2,3,4,0,5000,1,1,1,0,0,1,0,0,0,1,1,3,3,1,1,1,1,0,Worsened
Nairobi City,1776,Female,2,1,3,4,0,5000,1,1,1,0,1,0,0,0,0,1,1,4,3,1,1,1,0,0,Worsened
Kirinyaga,685,Female,5,3,2,3,0,5000,0,1,1,0,0,0,1,1,1,1,1,4,2,0,1,0,0,0,Worsened
Narok,1199,Female,3,1,3,2,0,5000,1,1,1,0,0,0,1,0,1,1,1,3,2,1,0,0,1,1,Improved
Kisumu,1587,Male,4,2,3,4,0,5000,1,0,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,Worsened
Migori,1663,Female,6,2,1,3,0,5000,0,0,1,7,0,0,0,1,1,1,0,2,1,1,1,1,0,0,Stayed the same
Kisumu,1593,Female,2,1,4,1,0,5000,0,1,1,0,1,0,0,0,0,1,0,6,3,1,1,1,1,1,Stayed the same
Kirinyaga,692,Female,3,2,4,4,0,5000,0,1,1,0,1,0,0,1,0,1,5,4,3,1,1,1,1,1,Worsened
Nyandarua,638,Female,6,1,3,4,0,5000,0,1,1,0,1,0,0,0,0,1,0,7,2,1,1,1,1,0,Worsened
Kiambu,812,Female,3,1,4,4,0,5000,1,1,1,0,1,0,1,0,1,1,0,10,3,1,1,0,1,1,Worsened
Kilifi,85,Female,3,1,2,4,0,5000,1,1,1,0,0,1,0,1,0,1,0,5,2,0,0,0,1,0,Stayed the same
Homabay,1642,Female,2,2,3,1,0,5000,0,1,1,2,0,0,0,1,0,1,2,0,1,1,1,1,0,0,Improved
Makueni,566,Male,4,1,3,4,0,5000,1,1,1,0,0,0,1,1,0,1,1,4,3,0,0,0,1,0,Stayed the same
Kilifi,125,Male,2,1,3,1,0,5000,0,0,0,7,0,0,0,0,0,0,2,0,3,0,1,1,0,0,Worsened
Mandera,274,Female,2,3,1,4,0,5000,1,1,1,0,0,0,0,1,0,1,1,2,2,0,1,1,1,0,Worsened
Nyeri,654,Male,4,2,2,1,0,5000,0,1,1,0,1,0,1,0,0,1,1,3,2,1,1,0,1,0,Worsened
Homabay,1628,Male,2,1,3,1,0,5000,0,1,1,0,0,0,1,0,0,1,1,2,2,1,0,1,1,1,Improved
Kiambu,779,Male,6,1,2,3,0,5000,1,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,0,0,Worsened
Tana River,146,Male,4,2,1,4,0,5000,0,1,1,0,0,0,0,1,0,1,1,2,2,0,0,1,0,0,Worsened
Machakos,541,Male,6,2,1,4,0,5000,1,1,1,0,1,0,1,1,1,1,0,4,2,1,0,0,0,0,Worsened
Nyandarua,608,Male,4,1,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,3,0,1,1,1,0,Worsened
West Pokot,866,Female,2,2,3,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,Worsened
Elgeyo-Marakwet,1011,Male,6,1,2,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,8,3,1,0,1,1,1,Stayed the same
Narok,1198,Male,3,1,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,Improved
Vihiga,1418,Male,4,2,2,2,0,5000,0,0,0,7,0,0,0,1,0,0,1,2,2,1,1,1,0,0,Worsened
Makueni,574,Female,3,2,2,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,4,2,1,1,0,0,0,Stayed the same
Taita-Taveta,206,Female,3,1,3,4,0,5000,0,1,1,0,1,0,1,1,1,1,0,7,2,1,1,1,1,1,Stayed the same
Murang'a,725,Female,6,3,2,3,0,5000,0,1,1,0,0,0,0,0,0,1,0,4,3,0,0,1,0,0,Worsened
Embu,457,Female,6,1,4,1,0,5000,0,1,1,0,0,1,1,0,0,1,1,8,2,1,1,1,1,1,Stayed the same
Isiolo,324,Male,6,1,2,4,1,5000,1,0,1,0,0,0,0,1,1,1,3,2,1,0,1,0,0,0,Worsened
Kitui,485,Female,5,3,3,4,0,5000,0,1,1,0,1,1,0,1,0,1,3,8,2,1,1,1,1,1,Stayed the same
Homabay,1608,Male,4,2,2,4,0,5000,1,1,1,0,1,0,1,0,0,1,0,5,1,1,0,0,1,1,Stayed the same
Nairobi City,1817,Female,3,2,2,2,0,5000,1,1,1,0,1,0,1,1,1,1,1,4,2,0,0,0,1,0,Worsened
Embu,461,Male,2,2,4,1,0,5000,1,1,1,0,1,0,1,0,1,1,0,9,3,1,1,0,1,0,Improved
Mandera,268,Male,6,3,1,4,0,5000,0,1,1,0,1,0,1,1,0,1,4,5,1,1,1,1,1,1,Improved
Meru,361,Female,2,2,2,4,0,5000,0,0,1,0,0,1,0,1,1,1,4,4,3,0,0,0,0,0,Worsened
Kericho,1311,Female,3,2,3,4,0,5000,1,1,1,0,1,1,1,1,1,1,0,10,3,0,0,1,1,0,Worsened
Marsabit,317,Female,3,3,1,4,0,5000,0,1,1,2,0,0,0,0,0,1,1,0,2,1,1,1,1,0,Stayed the same
Laikipia,1116,Male,2,1,3,1,0,5000,0,1,1,2,0,0,0,0,0,1,2,0,2,1,1,1,1,1,Stayed the same
Narok,1197,Male,2,1,4,1,0,5000,1,1,1,0,1,0,1,0,1,1,0,10,3,1,0,0,1,0,Improved
Kakamega,1382,Female,2,2,3,1,0,5000,0,0,0,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,Stayed the same
Kilifi,122,Female,2,1,3,4,0,5000,0,1,1,0,1,1,0,1,1,1,1,5,3,1,1,1,0,0,Stayed the same
Wajir,259,Female,4,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,4,1,2,1,1,1,1,0,Improved
Homabay,1613,Female,6,2,2,3,1,5000,1,1,1,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,Worsened
Nyamira,1739,Male,4,2,2,2,0,5000,0,0,0,7,0,0,0,0,0,0,4,0,1,0,1,1,0,0,Stayed the same
Homabay,1633,Female,4,2,3,4,0,5000,0,1,1,0,1,0,1,0,0,1,1,6,2,0,1,0,1,0,Stayed the same
Lamu,161,Female,5,1,3,4,0,5000,0,1,1,0,1,0,1,0,0,1,1,5,2,1,0,1,0,0,Worsened
Bomet,1346,Female,3,2,3,4,0,5000,0,1,1,0,0,0,1,0,0,1,4,5,3,1,0,1,1,0,Worsened
Migori,1656,Female,3,2,2,4,0,5000,0,1,1,8,0,0,0,1,0,1,1,1,3,0,1,1,0,0,Worsened
Kilifi,94,Female,2,2,3,1,0,5000,0,0,1,0,0,0,0,0,0,1,1,1,3,1,1,1,0,0,Stayed the same
Kirinyaga,689,Male,6,2,2,4,0,5000,0,0,1,3,0,0,0,0,0,1,1,2,1,1,1,1,0,0,Stayed the same
Nandi,1057,Female,3,2,4,4,0,5000,0,1,1,0,1,0,1,1,1,1,0,10,2,0,0,0,1,0,Stayed the same
Uasin Gishu,957,Female,2,1,3,1,0,5000,1,1,1,0,0,0,1,0,1,1,1,3,3,1,1,0,1,1,Worsened
Kajiado,1263,Female,3,1,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,13,3,1,1,1,1,1,Stayed the same
Samburu,893,Female,4,3,2,4,0,5000,1,1,1,0,1,1,1,1,1,1,8,6,0,0,0,0,1,0,Stayed the same
Garissa,1836,Female,5,1,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,8,1,2,0,0,1,0,0,Worsened
Kitui,495,Female,1,3,3,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,2,1,1,1,0,0,Stayed the same
Baringo,1077,Male,4,2,3,4,0,5000,1,1,1,0,1,0,1,0,0,1,0,12,2,1,0,0,1,0,Improved
Narok,1188,Female,3,1,1,4,0,5000,1,1,1,0,0,0,0,0,0,1,4,2,0,1,0,1,1,0,Stayed the same
Mombasa,17,Male,2,2,2,1,0,5000,1,0,1,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,Improved
Kakamega,1356,Female,5,2,3,4,0,5000,1,1,0,1,0,1,1,1,0,1,1,4,2,1,1,0,1,1,Stayed the same
Machakos,539,Female,5,3,2,4,0,5000,0,1,1,0,0,1,0,1,0,1,1,4,1,1,1,1,1,1,Improved
Kiambu,780,Female,4,2,3,4,0,5000,0,1,1,0,1,1,1,1,0,1,1,5,2,1,0,1,1,0,Worsened
Turkana,854,Female,4,2,1,3,0,5000,0,0,0,7,0,0,0,0,0,0,4,0,2,0,0,0,0,0,Worsened
Laikipia,1125,Female,2,2,3,1,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,3,1,0,1,1,0,Stayed the same
Uasin Gishu,962,Female,2,1,3,1,0,5000,0,1,1,0,0,0,0,0,0,1,8,1,2,0,0,1,1,0,Stayed the same
Tana River,147,Male,3,1,2,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,Worsened
Nairobi City,1819,Female,2,2,2,4,0,5000,0,1,1,2,0,0,0,0,0,1,4,0,1,1,1,1,0,0,Worsened
Uasin Gishu,965,Female,2,2,3,1,0,5000,0,1,1,0,1,0,1,1,1,1,0,7,3,0,0,0,0,0,Worsened
Mandera,264,Male,1,3,3,1,0,5000,0,0,0,1,0,0,0,0,0,0,2,0,3,0,1,1,0,0,Worsened
Homabay,1609,Female,3,2,2,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,2,2,1,1,1,1,0,Improved
Kirinyaga,718,Male,3,2,4,4,0,5000,0,1,1,0,0,0,1,0,0,1,1,5,3,0,0,1,0,0,Stayed the same
Siaya,1531,Male,2,2,3,1,0,5000,1,1,1,1,0,0,0,0,0,1,1,0,2,1,1,1,1,1,Stayed the same
Laikipia,1122,Female,5,1,4,4,0,5000,1,1,1,0,1,1,1,0,0,1,0,17,3,1,1,1,1,1,Improved
Kwale,79,Male,2,2,2,1,0,5000,0,1,1,2,0,0,0,0,0,1,2,0,2,1,1,1,1,0,Improved
Isiolo,323,Female,2,2,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,4,1,2,1,1,1,1,1,Stayed the same
Bomet,1333,Male,4,2,3,4,0,5000,0,0,1,7,0,1,0,0,0,1,1,1,1,1,0,1,0,0,Stayed the same
Bungoma,1436,Male,5,2,3,2,0,5000,0,1,1,0,0,0,1,0,0,1,1,4,3,1,1,1,1,1,Stayed the same
Meru,364,Male,3,2,3,2,0,5000,0,1,1,0,1,1,1,1,0,1,0,10,3,1,1,1,1,1,Worsened
Kwale,74,Male,3,2,3,1,0,5000,0,0,1,0,0,0,1,0,1,1,1,2,2,0,1,1,1,1,Improved
Nyandarua,601,Male,4,2,3,2,1,5000,0,1,1,0,0,0,1,0,1,1,0,5,3,0,0,0,0,0,Worsened
Homabay,1634,Male,6,2,3,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,5,3,1,1,0,1,0,Improved
Murang'a,726,Female,6,3,1,3,0,5000,0,1,0,4,0,0,1,0,0,1,0,3,1,1,0,0,0,0,Worsened
Uasin Gishu,959,Female,3,1,3,4,0,5000,0,1,1,0,1,0,1,0,1,1,1,3,3,1,0,1,1,0,Worsened
Mandera,263,Male,4,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,Worsened
Bungoma,1457,Male,4,2,2,4,0,5000,1,1,1,0,1,0,0,1,1,1,1,3,2,1,0,0,0,0,Worsened
